price,priceAvg,submittedDate,bankInterestRate,HCMPopulation,unemployment,covid-19
6342342,23147031.35,1/1/2023,7.4,9265217,2.25,1266
34226852,23164562.71,2/1/2023,7.4,9265217,2.25,1266
39575342,23190488.11,3/1/2023,7.4,9265217,2.25,1266
31498305,23203591.92,4/1/2023,7.4,9265217,2.25,1266
33451299,23219730.04,5/1/2023,7.4,9265217,2.25,1266
33929412,23236569.17,6/1/2023,7.4,9265217,2.25,1266
10298578,23216258.35,7/1/2023,7.4,9265217,2.25,1266
12616352,23199644.08,8/1/2023,7.4,9265217,2.25,1266
20139785,23194855.56,9/1/2023,7.4,9265217,2.25,1266
23827128,23195843.49,10/1/2023,7.4,9265217,2.25,1266
22475610,23194719.88,11/1/2023,7.4,9265217,2.25,1266
13218705,23179180.92,12/1/2023,7.4,9265217,2.25,1266
12157195,23162039.41,13/1/2023,7.4,9265217,2.25,1266
8168831,23138758.03,14/1/2023,7.4,9265217,2.25,1266
7264151,23114146.24,15/1/2023,7.4,9265217,2.25,1266
10055556,23093931.7,16/1/2023,7.4,9265217,2.25,1266
14715068,23080981.37,17/1/2023,7.4,9265217,2.25,1266
35270492,23099792.35,18/1/2023,7.4,9265217,2.25,1266
28442211,23108024.12,19/1/2023,7.4,9265217,2.25,1266
11276596,23089821.92,20/1/2023,7.4,9265217,2.25,1266
7195122,23065406.1,21/1/2023,7.4,9265217,2.25,1266
9315789,23044317.73,22/1/2023,7.4,9265217,2.25,1266
8086957,23021412.12,24/1/2023,7.4,9265217,2.25,1266
30666667,23033102.11,25/1/2023,7.4,9265217,2.25,1266
17500000,23024654.63,26/1/2023,7.4,9265217,2.25,1266
6263158,22999103.57,27/1/2023,7.4,9265217,2.25,1266
36333333,23019399.2,28/1/2023,7.4,9265217,2.25,1266
10600000,23000524.73,29/1/2023,7.4,9265217,2.25,1266
22323529,22999497.42,30/1/2023,7.4,9265217,2.25,1266
13100000,22984498.19,31/1/2023,7.4,9265217,2.25,1266
17164286,22975693.02,1/2/2023,7.4,9269496,2.25,420
8469388,22953780.18,2/2/2023,7.4,9269496,2.25,420
45363636,22987580.86,3/2/2023,7.4,9269496,2.25,420
7473684,22964216.56,5/2/2023,7.4,9269496,2.25,420
30359375,22975337.1,6/2/2023,7.4,9269496,2.25,420
80730942,23062057.23,7/2/2023,7.4,9269496,2.25,420
17680556,23053989.01,8/2/2023,7.4,9269496,2.25,420
50223301,23094661.63,9/2/2023,7.4,9269496,2.25,420
11790323,23077764.27,10/2/2023,7.4,9269496,2.25,420
25659091,23081616.99,11/2/2023,7.4,9269496,2.25,420
6184932,23056435.64,12/2/2023,7.4,9269496,2.25,420
53552381,23101816.51,14/2/2023,7.4,9269496,2.25,420
8025381,23079414.68,15/2/2023,7.4,9269496,2.25,420
35518072,23097869.66,16/2/2023,7.4,9269496,2.25,420
13857143,23084179.69,17/2/2023,7.4,9269496,2.25,420
